"old","new"
"Dartford Grammar School","dartford grammar school"
"Dartmouth","dartmouth"
"Dartmouth Colelge","dartmouth colelge"
"dartmouth college","dartmouth college"
"Dartmouth College","dartmouth college"
"Dartmouth College, Hanover","dartmouth college hanover"
"Darton College","darton college"
"Darul Hikmah Islamic College","darul hikmah islamic college"
"Darul Ihsan University","darul ihsan university"
"Darul Ihsan University, DhÃƒâ€žÃ¯Â¿Â½ka",""
"Darwin High School","darwin high school"
"Daryn Kentau","daryn kentau"
"dascas","dascas"
"Dasfa","dasfa"
"Data Incubator","data incubator"
"Datahack","datahack"
"Datta meghe college of engineering","datta meghe college of engineering"
"Datta Meghe College of Engineering","datta meghe college of engineering"
"Datta Meghe College of Engineering, Airoli","datta meghe college of engineering airoli"
"Datta Meghe College of Engineering, Mumbai","datta meghe college of engineering mumbai"
"Datta Meghe College of Enigneering, Airoli, Navi Mumbai","datta meghe college of enigneering airoli navi mumbai"
"Datta meghe Collge of Engineering","datta meghe collge of engineering"
"Dauphine University","dauphine university"
"DAV","dav"
"dav","dav"
"DAV  public school,ballabgarh","dav public school ballabgarh"
"dav berhampur","dav berhur"
"DAV Bilaspur","dav bilaspur"
"DAV Boys S.S.School, Mogappair","dav boys ssschool mogappair"
"DAV centenary public school, jaipur","dav centenary public school jaipur"
"DAV Centenary Public School, Rohtak","dav centenary public school rohtak"
"DAV CENTENARY PUBLIC SCHOOL,BANIAHIR","dav centenary public school baniahir"
"Dav college jalandhar","dav college jalandhar"
"DAV College, Chandigarh","dav college chandigarh"
"dav gopalapuram","dav gopalapuram"
"DAV Institute of Engineering & Technology","dav institute of engineering & technology"
"DAV Institute Of Engineering And Technology","dav institute of engineering and technology"
"DAV Institute Of Engineering And Technology, Jalandhar","dav institute of engineering and technology jalandhar"
"DAV Internation School, Kharghar","dav internation school kharghar"
"dav kapildev","dav kapildev"
"dav kapildev public school","dav kapildev public school"
"dav khagaul","dav khagaul"
"dav koyla nagar","dav koyla nagar"
"DAV MODEL SCHOOL , DURGAPUR","dav model school durgapur"
"DAV Model School Durgapur","dav model school durgapur"
"dav model school durgapur","dav model school durgapur"
"dav model school kharagpur","dav model school kharagpur"
"dav public school","dav public school"
"DAV Public School","dav public school"
"DAV public school","dav public school"
"DAV PUBLIC SCHOOL","dav public school"
"Dav public school","dav public school"
"DAV Public school , haryana","dav public school haryana"
"DAV Public School , Muzaffarpur","dav public school muzaffarpur"
"DAV public school , Vasant kunj","dav public school vasant kunj"
"Dav Public School ,Amlohri","dav public school amlohri"
"DAV PUBLIC SCHOOL ,BILASPUR","dav public school bilaspur"
"DAV Public School ,J.A,Dera","dav public school ja dera"
"DAV public school ,Nerul","dav public school nerul"
"DAV Public School ,Ranchi","dav public school ranchi"
"Dav public school ,saharanpur","dav public school saharanpur"
"dav public school asansol","dav public school asansol"
"DAV Public School ballabgarh","dav public school ballabgarh"
"dav public school bhilai","dav public school bhilai"
"dav public school bistupur jamshedpur","dav public school bistupur jamshedpur"
"DAV Public School BSEB","dav public school bseb"
"dav public school chunapur","dav public school chunapur"
"DAV public school fazilka","dav public school fazilka"
"DAV Public School Ghaziabad","dav public school ghaziabad"
"DAv public school khagaul","dav public school khagaul"
"DAV PUBLIC SCHOOL KHUNTI","dav public school khunti"
"DAV Public School Kota","dav public school kota"
"DAV Public School KoylaNagar","dav public school koylanagar"
"dav public school muzaffar","dav public school muzaffar"
"DAV Public School NIT Jamshedpur","dav public school nit jamshedpur"
"DAV Public School NTS Barkakana","dav public school nts barkakana"
"DAV Public school Panipat","d a v public school panipat"
"DAV Public School Patna","dav public school patna"
"dav public school rajinder nagar, sahibabad","dav public school rajinder nagar sahibabad"
"DAV PUBLIC SCHOOL SECTOR-37 , FARIDABAD","dav public school sector37 faridabad"
"Dav public school shreshtha vihar,delhi","dav public school shreshtha vihar delhi"
"Dav Public School Sreshtha Vihar","dav public school sreshtha vihar"
"dav public school thane","dav public school thane"
"Dav public school thermal colony  panipat","dav public school thermal colony panipat"
"dav public school vizag","dav public school vizag"
"DAV public School Wadi","dav public school wadi"
"DAV Public School,  Berhampur ,Odisha","dav public school berhur odisha"
"DAV Public School, Bhubaneswar","dav public school bhubaneswar"
"DAV Public School, Bilaspur","dav public school bilaspur"
"DAV PUBLIC SCHOOL, CDA, SEC-6, CUTTACK, ODISHA","dav public school cda sec6 cuttack odisha"
"DAV Public School, Dehradun","dav public school dehradun"
"DAV Public School, Delhi","dav public school delhi"
"DAV public school, hazaribagh","dav public school hazaribagh"
"DAV Public School, Kansbahal","dav public school kansbahal"
"DAV Public School, Nabha","dav public school nabha"
"DAV PUBLIC SCHOOL, NEW PANVEL","dav public school new panvel"
"DAV Public School, Pokhariput","dav public school pokhariput"
"Dav public school, safilguda","dav public school safilguda"
"DAV Public School, Sahibabad","dav public school sahibabad"
"DAV Public School, Unit-8, Bhubaneswar","dav public school unit8 bhubaneswar"
"DAV Public School, Urimari","dav public school urimari"
"DAV PUBLIC SCHOOL,DELHI","dav public school delhi"
"DAV Public School,hehal","dav public school hehal"
"DAV public school,khagaul","dav public school khagaul"
"DAV Public school,nh-3,faridabad","dav public school nh3 faridabad"
"DAV Public School,sunam","dav public school sunam"
"DAV public Schoool","dav public school"
"DAV Pushpanjali","dav pushpanjali"
"dav sahibabad","dav sahibabad"
"DAV School ,adambakkam","dav school adambakkam"
"DAV School Abohar","dav school abohar"
"DAV Senior Secondary School","dav senior secondary school"
"Dav sushil kedia vishwa bharti higher secondary school, Kathmandu ,N","dav sushil kedia vishwa bharti higher secondary school kathmandu n"
"Dav unit 8","dav unit 8"
"dav university","dav university"
"Davao Doctors College, Davao","davao doctors college davao"
"Davao Oriental State College of Science and Technology","davao oriental state college of science and technology"
"Davenport College of Business, Grand Rapids","davenport college of business grand rapids"
"Davenport College of Business, Grand Rapids, Grand Rapids","davenport college of business grand rapids"
"David H. Hickman High School","david h hickman high school"
"david thompson secondary school","david thompson secondary school"
"Davidson Academy of Nevada","davidson academy of nevada"
"Davidson College","davidson college"
"DAVIET","daviet"
"Davis Senior High School","davis senior high school"
"DAVJVM","davjvm"
"davv","davv"
"DAVV","davv"
"DAVV IET","davv iet"
"Dawood University of Engineering and Technology","dawood university of engineering and technology"
"DawsonCollege","dawsoncollege"
"Dayalbagh Educational Institute","dayalbagh educational institute"
"Dayalbagh Educational Institute, Ãƒâ€žÃ¢â€šÂ¬gra",""
"Dayanand Anglo Vedic Public School","dayanand anglo vedic public school"
"Dayanand College (DN College) Hisar","dayanand college dn college hisar"
"Dayanand Inter College, Pithoragarh","dayanand inter college pithoragarh"
"Dayanand Model school","dayanand model school"
"Dayanand Public School Shimla","dayanand public school shimla"
"dayanand sagar college of engineering","dayanand sagar college of engineering"
"Dayanand Sagar College of Engineering, Bangalore","dayanand sagar college of engineering bangalore"
"Dayanand Sagar Institutions (DSI)","dayanand sagar institutions dsi"
"Dayanand Science College, Latur","dayanand science college latur"
"Dayananda Sagar Academy of Technology and Management","dayananda sagar academy of technology and management"
"dayananda sagar college of eng","dayananda sagar college of eng"
"Dayananda Sagar College of Engineering","dayananda sagar college of engineering"
"Dayananda sagar college of Engineering","dayananda sagar college of engineering"
"Dayananda Sagar College Of Engineering","dayananda sagar college of engineering"
"Dayananda Sagar College of Engineering, Bangalore","dayananda sagar college of engineering bangalore"
"Dayananda Sagar University","dayananda sagar university"
"Dayawati modi academy","dayawati modi academy"
"Dayawati Modi Academy","dayawati modi academy"
"Dayeh University","dayeh university"
"Dayer Yousof Secondary School","dayer yousof secondary school"
"Daystar University","daystar university"
"Daytona State College","daytona state college"
"DBCET","dbcet"
"dbgi","dbgi"
"DBMS","dbms"
"DBMS English School","dbms english school"
"dcdcc","dcdcc"
"DCE","dce"
"DCM Academy Chhatarpur","dcm academy chhatarpur"
"DCRUST","dcrust"
"DCSA","dcsa"
"DCSA, KUK","dcsa kuk"
"DCSA,Kurukshetra University,Kurukshetra","dcsa kurukshetra university kurukshetra"
"DCT University Center Switzerland","dct university center switzerland"
"DCU","dcu"
"DCU, Dublin","dcu dublin"
"DDCMPS","ddcmps"
"DDCS","ddcs"
"ddd","ddd"
"dddd","ddd"
"DDIT","ddit"
"DDIt","ddit"
"dds","dds"
"DDU","ddu"
"ddu","ddu"
"Ddu","ddu"
"ddvd","ddvd"
"De Anza","de anza"
"De Anza College","de anza college"
"De Haagse Hogeschool","de haagse hogeschool"
"De Haagse Hogeschool, Delft","de haagse hogeschool delft"
"De Haagse Hogeschool, s-Gravenhage","de haagse hogeschool sgravenhage"
"DE IK","de ik"
"De La Salle College of Saint Benilde","de la salle college of saint benilde"
"De la salle lipa","de la salle lipa"
"De La Salle Santiago Zobel","de la salle santiago zobel"
"De La Salle University","de la salle university"
"De La Salle University - DasmariÃƒÆ’Ã‚Â±as",""
"De La Salle University, Dasmarinas","de la salle university dasmarinas"
"De La Salle University, Manila","de la salle university manila"
"De La Salle University-Manila","de la salle university manila"
"De Montfort University","de montfort university"
"De Montfort University Leicester","de montfort university leicester"
"De Montfort University Leicester, Leicester","de montfort university leicester"
"De Nobili Matriculation higher seconda","de nobili matriculation higher seconda"
"De Nobili School","de nobili school"
"De Paul International Residential School","de paul international residential school"
"De Paul Public School Thodupuzha","de paul public school thodupuzha"
"De Paul Public School, Kalpetta","de paul public school kalpetta"
"De Paul School, Ukkunagaram","de paul school ukkunagaram"
"de paul school,berhampur","de paul school berhur"
"De Paul School,Berhampur","de paul school berhur"
"Deakin  University","deakin university"
"Deakin University","deakin university"
"Deakin University, Burwood","deakin university burwood"
"Deakin University, Geelong","deakin university geelong"
"Debreceni Egyetem","debreceni egyetem"
"Debreceni Egyetem IK","debreceni egyetem ik"
"Debreceni Egyetem Informatikai Kar","debreceni egyetem informatikai kar"
"Debreceni Fazekas MihÃƒÆ’Ã‚Â¡ly GimnÃƒÆ’Ã‚Â¡zium",""
"Debreceni Fazekas Mihly Gimnzium","debreceni fazekas mihly gimnzium"
"Deccan College Of Engineering & Technology","deccan college of engineering & technology"
"Dedan Kimathi University of Technology","dedan kimathi university of technology"
"Deeksha model school","deeksha model school"
"Deen Bandhu Chhotu Ram University of Science and Technology,Sonepat,India","deen bandhu chhotu ram university of science and technology sonepat india"
"deen dayal upadhaya college ,delhi university","deen dayal upadhaya college delhi university"
"Deen dayal upadhyay delhi university","deen dayal upadhyay delhi university"
"Deen Dayal Upadhyaya College, University of Delhi","deen dayal upadhyaya college university of delhi"
"deen dayal upadhyaya DU","deen dayal upadhyaya du"
"Deenbandhu Chhotu Ram University of Science and Technology","deenbandhu chhotu ram university of science and technology"
"Deenbandhu Chotu Ram Univ of Sc. & Tech","deenbandhu chotu ram univ of sc & tech"
"Deenbandhu Chotu Ram Univ of Sc. & Tech, Murthal","deenbandhu chotu ram univ of sc & tech murthal"
"Deep Run High School","deep run high school"
"Deepanshu public school","deepanshu public school"
"Deeper Life High School","deeper life high school"
"deepika english medium school, rourkela","deepika english medium school rourkela"
"Deer Valley High School","deer valley high school"
"Deerwalk Institute Of Technology","deerwalk institute of technology"
"deewan public school","deewan public school"
"Defence Institute of Advanced Technology","defence institute of advanced technology"
"Defense Institute of Advanced Technology, Pune","defense institute of advanced technology pune"
"Deficient","deficient"
"Degree","degree"
"Dehradun Institute of Technology","dehradun institute of technology"
"Dehradun Institute of Technology, Dehradun","dehradun institute of technology"
"DEI","dei"
"DEI Bachelor &amp; Master Degrees","dei bachelor & master degrees"
"DeKalb Early College Academy","dekalb early college academy"
"Del Institute of Technology","del institute of technology"
"Del Pilar Academy","del pilar academy"
"DeLand High School","deland high school"
"Delaware county community college","delaware county community college"
"Delaware Technical and Community College, Delaware","delaware technical and community college delaware"
"Delft University of Technology","delft university of technology"
"Delft University of Technology (TU Delft), Netherlands","delft university of technology tu delft netherlands"
"Delft University of Technology, Delft","delft university of technology"
"delhi","delhi"
"Delhi","delhi"
"Delhi College of Engineering","delhi college of engineering"
"Delhi College of Engineering (08-2k12)","delhi college of engineering 082k12"
"Delhi College of engineering (DCE)","delhi college of engineering dce"
"Delhi College of Engineering (DCE)","delhi college of engineering dce"
"Delhi College of Engineering (DCE), New Delhi","delhi college of engineering dce new delhi"
"Delhi College of Engineering (DCE), Ni Dilli","delhi college of engineering dce ni dilli"
"Delhi College of Engineering, New Delhi","delhi college of engineering new delhi"
"Delhi institute of Advanced Studies","delhi institute of advanced studies"
"Delhi Institute of Advanced Studies","delhi institute of advanced studies"
"Delhi Institute of Tool Engineering","delhi institute of tool engineering"
"Delhi Private School Sharjah","delhi private school sharjah"
"Delhi Private School, Sharjah","delhi private school sharjah"
"delhi publc school ghaziabad","delhi publc school ghaziabad"
"delhi public school","delhi public school"
"Delhi Public School","delhi public school"
"Delhi public school","delhi public school"
"Delhi Public School (DPS) - R K Puram","delhi public school dps r k puram"
"Delhi public school , Aligarh","delhi public school aligarh"
"Delhi Public School , Faridabad","delhi public school faridabad"
"Delhi public school , hyderabad","delhi public school hyderabad"
"Delhi Public School , Ranchi","delhi public school ranchi"
"Delhi Public School ,Farakka","delhi public school farakka"
"DELHI PUBLIC SCHOOL ALLAHABAD","delhi public school allahabad"
"Delhi Public School Azaad Nagar","delhi public school azaad nagar"
"Delhi Public School Bangalore North","delhi public school bangalore north"
"Delhi Public School Bangalore South","delhi public school bangalore south"
"Delhi public school bareilly","delhi public school bareilly"
"Delhi Public School Bhilai","delhi public school bhilai"
"delhi public school bokaro","delhi public school bokaro"
"delhi public school chandigarh","delhi public school chandigarh"
"Delhi Public School digboi","delhi public school digboi"
"Delhi Public School Dwarka","delhi public school dwarka"
"Delhi Public School Ghaziabad","delhi public school ghaziabad"
"Delhi Public School indirapuram","delhi public school indirapuram"
"Delhi Public School Megacity","delhi public school megacity"
"Delhi Public School Newtown","delhi public school newtown"
"Delhi Public School Noida","delhi public school noida"
"Delhi Public School Patna","delhi public school patna"
"Delhi Public School Pune","delhi public school pune"
"Delhi Public School R.K. Puram","delhi public school rk puram"
"Delhi Public School Rajkot","delhi public school rajkot"
"Delhi Public School Ruby Park","delhi public school ruby park"
"Delhi Public School Sector 45, Gurgaon","delhi public school sector 45 gurgaon"
"Delhi Public School Surat","delhi public school surat"
"Delhi Public School Vasant Kunj","delhi public school vasant kunj"
"Delhi Public School,","delhi public school"
"Delhi Public School, Bhilai","delhi public school bhilai"
"Delhi Public School, Bhopal","delhi public school bhopal"
"Delhi Public School, Bokaro","delhi public school bokaro"
"Delhi Public School, Bulandshahr","delhi public school bulandshahr"
"Delhi Public School, Dhanbad","delhi public school dhanbad"
"Delhi Public School, Dwarka","delhi public school dwarka"
"Delhi Public School, Eldeco","delhi public school eldeco"
"delhi public school, Faridabad","delhi public school faridabad"
"Delhi Public School, Faridabad","delhi public school faridabad"
"Delhi Public School, Ghaziabad","delhi public school ghaziabad"
"Delhi Public School, Greater Noida","delhi public school greater noida"
"Delhi Public School, Gurgaon","delhi public school gurgaon"
"Delhi Public School, Jodhpur","delhi public school jodhpur"
"Delhi Public School, Kalyanpur","delhi public school kalyanpur"
"Delhi Public School, Mathura Road","delhi public school mathura road"
"Delhi Public School, Navi Mumbai","delhi public school navi mumbai"
"Delhi Public School, Noida","delhi public school noida"
"Delhi Public School, Palwal","delhi public school palwal"
"Delhi Public School, Patna","delhi public school patna"
"Delhi Public School, R.K Puram","delhi public school rk puram"
"Delhi Public School, R.K. Puram","delhi public school rk puram"
"Delhi Public School, R.K.Puram, New Delhi","delhi public school rkpuram new delhi"
"Delhi Public School, Ranipur","delhi public school ranipur"
"Delhi Public School, Rewari","delhi public school rewari"
"Delhi Public School, Riyadh","delhi public school riyadh"
"Delhi Public School, Rohini","delhi public school rohini"
"Delhi Public School, Rourkela","delhi public school rourkela"
"Delhi Public School, Sector 45, Gurgaon","delhi public school sector 45 gurgaon"
"Delhi Public School, Vasant Kunj","delhi public school vasant kunj"
"Delhi Public School, Vasant Kunj, New Delhi","delhi public school vasant kunj new delhi"
"Delhi Public School,Agra","delhi public school agra"
"Delhi Public School,Bhilai","delhi public school bhilai"
"delhi public school,dwarka","delhi public school dwarka"
"Delhi Public School,Dwarka","delhi public school dwarka"
"Delhi Public School,Jodhpur","delhi public school jodhpur"
"Delhi Public School,Kuwait","delhi public school kuwait"
"Delhi Public School,Pune","delhi public school pune"
"Delhi Public School,Ruby Park","delhi public school ruby park"
"delhi public school,vijaipur","delhi public school vijaipur"
"Delhi Technical Campus, Greater Nodia, GGSIPU","delhi technical cus greater nodia ggsipu"
"Delhi Technological  University","delhi technological university"
"delhi technological  university,new delhi","delhi technological university new delhi"
"Delhi technological University","delhi technological university"
"DELHI TECHNOLOGICAL UNIVERSITY","delhi technological university"
"Delhi Technological University","delhi technological university"
"Delhi Technological University (DTU) or Delhi College of Engg. (DCE)","delhi technological university dtu or delhi college of engg dce"
"Delhi Technological University (Formerly DCE)","delhi technological university formerly dce"
"Delhi Technological University (Formerly Delhi College of Engineering)","delhi technological university formerly delhi college of engineering"
"Delhi Technological University(formly Delhi College of Engineering)","delhi technological universityformly delhi college of engineering"
"DELHI TECHNOLOGICAL UNIVERSITY, NEW DELHI","delhi technological university new delhi"
"Delhi Universitty","delhi universitty"
"delhi university","delhi university"
"delhi University","delhi university"
"Delhi University","delhi university"
"Delhi university","delhi university"
"Delhi University PGDAV","delhi university pgdav"
"Delhi University, New Delhi","delhi university new delhi"
"Delhi University-Sri Guru Gobind Singh College of Commerce","delhi universitysri guru gobind singh college of commerce"
"Delicias Technology Institute","delicias technology institute"
"delta higher institute for engineering and technology","delta higher institute for engineering and technology"
"Delta State University","delta state university"
"delta university","delta university"
"DemoCollege","democollege"
"Democritus University of Thrace","democritus university of thrace"
"Democritus University of Thrace, Xanthi","democritus university of thrace xanthi"
"Denefield School","denefield school"
"dengta","dengta"
"Denison University","denison university"
"Denison University, Granville","denison university granville"
"Dennis Gabor College","dennis gabor college"
"De-Nobili School","de nobili school"
"Denton Creek Elementary School","denton creek elementary school"
"Denver Technical College","denver technical college"
"Deogiri College, Aurangabad","deogiri college aurangabad"
"Deogiri Institute of Engineering and Management Studies","deogiri institute of engineering and management studies"
"Deparment of computer science, university of pune","deparment of computer science university of pune"
"Department of  Computer Science, Delhi University","delhi university"
"Department of Computer Applications, CUSAT","department of computer applications cusat"
"department of computer delhi science university","delhi university"
"department of computer science","department of computer science"
"Department of Computer Science &amp; Application, Kurukshetra University","department of computer science & application kurukshetra university"
"Department of computer science , university of delhi","delhi university"
"Department of Computer Science and Applications, Kurukshetra University","department of computer science and applications kurukshetra university"
"Department Of Computer Science And Engineering-Jadavpur University","department of computer science and engineeringjadavpur university"
"Department of computer science Banaras hindu university","department of computer science banaras hindu university"
"Department of computer science bhu","department of computer science bhu"
"Department of computer science university of delhi","delhi university"
"Department of computer science University of Delhi","delhi university"
"Department of computer science university of pune","department of computer science university of pune"
"Department Of Computer Science, Delhi University","delhi university"
"Department of Computer Science, Delhi University","delhi university"
"Department of Computer Science, North Maharashtra University, Jalgaon","department of computer science north maharashtra university jalgaon"
"Department Of Computer Science, Rollwala computer center","department of computer science rollwala computer center"
"Department of Computer Science, University of Crete","department of computer science university of crete"
"Department of Computer Science, University of Pisa","department of computer science university of pisa"
"Department of Computer Science,Banaras Hindu Univeristy","department of computer science banaras hindu univeristy"
"Department of computer science,BHU","department of computer science bhu"
"department of computer science,delhi university","delhi university"
"Department of Computer Science,Delhi University","delhi university"
"Department of Computer Science,University of Delhi","delhi university"
"Department of computer science,university of pune","department of computer science university of pune"
"Department of Data Science and Knowledge Engineering, Maastricht University","department of data science and knowledge engineering maastricht university"
"Department of Electronic and Telecommunication University of Moratuwa","department of electronic and telecommunication university of moratuwa"
"Department of Informatics, Technological Educational Institute of Athens","department of informatics technological educational institute of athens"
"Department of Information Science and technology","department of information science and technology"
"Department of Mathematics and Informatics, Novi Sad","department of mathematics and informatics novi sad"
"Department of Mathematics, Osijek","department of mathematics osijek"
"Department of Statistics, University of Delhi","department of statistics university of delhi"
"Department of Technology, Shivaji University, Kolhapur","department of technology shivaji university kolhapur"
"Depaul , visakhapatnam","depaul visakhapatnam"
"Depaul University","depaul university"
"DePaul University","depaul university"
"DEPAUL UNIVERSITY","depaul university"
"DePaul University, Chicago","depaul university chicago"
"DePauw University","depauw university"
"DePauw University, Greencastle","depauw university greencastle"
"Dept. of Computer Science, University of Delhi","dept of computer science university of delhi"
"deptartment of computer science delhi university","deptartment of computer science delhi university"
"Derakhshan High School","derakhshan high school"
"Des Moines Area Community College","des moines area community college"
"DeSales University","desales university"
"Desert Canyon Middle School","desert canyon middle school"
"Desert Ridge High School","desert ridge high school"
"Desh Bhagat University","desh bhagat university"
"Deshbandhu College","deshbandhu college"
"deshikendra high school,india","deshikendra high school india"
"Desouza's school,Rourkela,odisha","desouzas school rourkela odisha"
"DESY","desy"
"Det frie Gymnasium","det frie gymnasium"
"Deusto","deusto"
"Dev Bhoomi Institute Of Technology","dev bhoomi institute of technology"
"Dev Bhoomi Institute of Technology","dev bhoomi institute of technology"
"Dev Bhoomi Institute Of Technology, Dehradun","dev bhoomi institute of technology dehradun"
"Dev Bootcamp","dev bootc"
"Dev Bootcamp, Chicago","dev bootc chicago"
"Dev Bootcamp, San Francisco","dev bootc san francisco"
"dev F","dev f"
"Dev Nagri Inter College","dev nagri inter college"
"Dev Samaj Vidya Niketan School","dev samaj vidya niketan school"
"dev samaj vidya niketan sr.sec.school","dev samaj vidya niketan srsecschool"
"Devangar Higher Secondary School","devangar higher secondary school"
"Devastator","devastator"
"devbootcamp","dev bootc"
"DevClub","devclub"
"Devi Academy Sr. Secondary School","devi academy sr secondary school"
"Devi Ahilya University - School of Computer Science","devi ahilya university school of computer science"
"Devi Ahilya University of Indore","devi ahilya university of indore"
"Devi Ahilya University of Indore, Indore","devi ahilya university of indore"
"Devi Ahilya Vishwavidyalaya","devi ahilya vishwavidyalaya"
"Devleague","devleague"
"DevLeague","devleague"
"DevMountain","devmountain"
"devry","devry"
"DeVry","devry"
"Devry ÃƒÆ’Ã¯Â¿Â½rea1, Brazil",""
"DeVry Chicago","devry chicago"
"Devry College of New York","devry college of new york"
"DeVry Institute of Technology","devry institute of technology"
"DeVry Institute of Technology, Chicago","devry institute of technology chicago"
"DeVry Institute of Technology, Columbus","devry institute of technology columbus"
"DeVry Institute of Technology, Columbus, Columbus","devry institute of technology columbus"
"DeVry Institute of Technology, Decatur","devry institute of technology decatur"
"DeVry Institute of Technology, Decatur, Decatur","devry institute of technology decatur"
"DeVry Institute of Technology, DuPage, Addison","devry institute of technology dupage addison"
"DeVry Institute of Technology, Irving, Irving","devry institute of technology irving irving"
"DeVry Institute of Technology, Kansas City","devry institute of technology kansas city"
"DeVry Institute of Technology, Kansas City, Kansas City","devry institute of technology kansas city"
"DeVry Institute of Technology, Long Beach","devry institute of technology long beach"
"DeVry Institute of Technology, Phoenix","devry institute of technology phoenix"
"DeVry Institute of Technology, Phoenix, Phoenix","devry institute of technology phoenix"
"DeVry Institute of Technology, Pomona","devry institute of technology pomona"
"DeVry Institute of Technology, Pomona, Pomona","devry institute of technology pomona"
"DeVry Metrocamp","devry metroc"
"DeVry University","devry university"
"DeVry University, Federal Way, WA","devry university federal way wa"
"Devry University, Federal Way, Washington","devry university federal way washington"
"DeVry University, Fresno","devry university fresno"
"DeVry University, Jacksonville FL","devry university jacksonville fl"
"DeVry University, Pomona","devry university pomona"
"DeVry University, Tinley Park","devry university tinley park"
"Dewan Public School, Meerut","dewan public school meerut"
"dfgdfg","dfgdfg"
"dfsdf","dfsdf"
"dfvnvk;lwvfrfg","dfvnvklwvfrfg"
"DG Vaishnav College","dg vaishnav college"
"DGUT","dgut"
"DHA Suffa University","dha suffa university"
"DHA SUFFA UNIVERSITY","dha suffa university"
"DHA Suffa University (Official)","dha suffa university official"
"Dhaanish Ahmed College of Engineering","dhaanish ahmed college of engineering"
"Dhaanish Ahmed College of Engineering, Anna University Chennai","dhaanish ahmed college of engineering anna university chennai"
"Dhaka Bigyan College, Dhaka","dhaka bigyan college dhaka"
"Dhaka City College","dhaka city college"
"Dhaka College","dhaka college"
"Dhaka Imperial College","dhaka imperial college"
"Dhaka International University","dhaka international university"
"Dhaka International University, DhÃƒâ€žÃ¯Â¿Â½ka",""
"Dhaka Polytechnic Institute","dhaka polytechnic institute"
"Dhaka Residential Model College","dhaka residential model college"
"Dhaka University of Engineering & Technology,Gazipur","dhaka university of engineering & technology gazipur"
"Dhaka University of Engineering and technology","dhaka university of engineering and technology"
"Dhaka university of enginnering and technology","dhaka university of enginnering and technology"
"Dhamnagar High School","dhamnagar high school"
"Dhanalakshmi College of Engineering","dhanalakshmi college of engineering"
"Dhanalakshmi College Of Engineering","dhanalakshmi college of engineering"
"Dhanalakshmi College of Engineering, Chennai","dhanalakshmi college of engineering chennai"
"DHANALAKSHMI SRINIVASAN ENGINEERING COLLEGE","dhanalakshmi srinivasan engineering college"
"Dhanbad Public School","dhanbad public school"
"Dhanekula institute of engineering & technology","dhanekula institute of engineering & technology"
"Dhanmondi Govt. Boys' High School","dhanmondi govt boys high school"
"Dharamsinh Desai University","dharamsinh desai university"
"Dharani matriculation higher secondary school","dharani matriculation higher secondary school"
"dharmaraja","dharmaraja"
"Dharmaraja","dharmaraja"
"Dharmaraja College Kandy","dharmaraja college kandy"
"Dharmaraja College, Kandy","dharmaraja college kandy"
"dharmasinh desai university","dharmasinh desai university"
"Dharmasoka College","dharmasoka college"
"Dharmsinh Desai Institute of Technology","dharmsinh desai institute of technology"
"Dharmsinh Desai Institute of Technology, Nadiad","dharmsinh desai institute of technology nadiad"
"DharmSinh Desai University","dharmsinh desai university"
"Dharmsinh Desai University","dharmsinh desai university"
"Dharmsinh Desai University(DDU)","dharmsinh desai universityddu"
"Dharmsinh Desai University, Nadiad","dharmsinh desai university nadiad"
"DHBK","dhbk"
"DHBW Stuttgart","dhbw stuttgart"
"dhg","dhg"
"Dhirajlal Gandhi College of Technology","dhirajlal gandhi college of technology"
"dhiru","dhiru"
"Dhirubhai Ambani Institute of Information and Communication Technology","dhirubhai ambani institute of information and communication technology"
"Dhirubhai Ambani Institute of Information and Communication Technology (DAIICT Gandhinagar)","daiict gandhinagar dhirubhai ambani institute of information and communication technology"
"Dhirubhai Ambani Institute of Information and Communication Technology, Gndhnagar","dhirubhai ambani institute of information and communication technology gndhnagar"
"Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar","dhirubhai ambani institute of information and communication technology gandhinagar"
"Dhirubhai Ambani Institute of Information and Technology","dhirubhai ambani institute of information and technology"
"Dhirubhai Ambani Institute of Information Technology","dhirubhai ambani institute of information technology"
"Dhirubhai Ambani International School","dhirubhai ambani international school"
"Dhole patil college of engineering","dhole patil college of engineering"
"dhruva institute of engineering and technology","dhruva institute of engineering and technology"
"dhu","dhu"
"Dhyamata High  School, Amravati","dhyamata high school amravati"
"Dhyanahita High School","dhyanahita high school"
"Diablo Valley College","diablo valley college"
"diablo valley college","diablo valley college"
"Diamond Bar High School","diamond bar high school"
"Diamond Jubilee High School For Boys, Mazgaon, Mumbai, India","diamond jubilee high school for boys mazgaon mumbai india"
"DIATM","diatm"
"Dibrugarh University","dibrugarh university"
"Dibrugarh University, Dibrugarh","dibrugarh university"
"Dickinson College","dickinson college"
"Dickinson College, Carlisle","dickinson college carlisle"
"Dickinson State University, Dickinson","dickinson state university dickinson"
"Diefenbachgymnasium","diefenbachgymnasium"
"Diego Portales University","diego portales university"
"DieKaffir","diekaffir"
"Dighapatia M K College","dighapatia m k college"
"DigiPen Institute of Technology","digipen institute of technology"
"Digipen Institute of Technology","digipen institute of technology"
"Digipen Institute of Technology Singapore","digipen institute of technology singapore"
"DigiPen Institute of Technology Singapore","digipen institute of technology singapore"
